Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
,,,,,,002,10259,"Stephens, Matthew P.",17.2%,,,,31.0%,,,17.2%,,,17.2%,,,,6.9%,,,,,,,,,,,10.3%,,,,
,,33100,Adv Ind Safety & Health Mgmt,202210,Fall 2021,001,10115,"Biggs, Jon D.",51.4%,,,,40.5%,,,8.1%,,,,,,,,,,,,,,,,,,,,,,
,,33400,Economics Analysis - Tech Sys,202210,Fall 2021,002,10266,"Sutton, Mathias J.",22.4%,8.2%,12.2%,,12.2%,6.1%,14.3%,2.0%,4.1%,2.0%,4.1%,2.0%,,,10.2%,,,,,,,,,,,,,,,
,,,,,,003,10267,"Athinarayanan, Ragu",33.9%,,,,23.7%,,,16.9%,,,13.6%,,,,6.8%,,,,,,,,,,,3.4%,1.7%,,,
,,33620,Total Productive Maintenance,202210,Fall 2021,001,10285,"Stephens, Matthew P.",25.0%,,,,33.3%,,5.6%,19.4%,,2.8%,11.1%,,,,,,,,,,,,,,,2.8%,,,,
,,34300,Technical And Service Selling,202210,Fall 2021,001,10288,"Newton, Charles R.",18.8%,,,,56.3%,,,21.9%,,,,,,,,,,,,,,,,,,3.1%,,,,
,,41400,Financial Analysis Tech Sys,202210,Fall 2021,004,10335,"Newton, Kathryne A.",13.2%,,,,49.5%,,,20.9%,,,11.0%,,,,3.3%,,,,,,,,,,,2.2%,,,,
,,,Fincl Analysis Tech Sys-Honors,202210,Fall 2021,004,10335,"Newton, Kathryne A.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43530,Operations Planning & Mgmt,202210,Fall 2021,001,10350,"Nanda, Gaurav",38.6%,19.3%,7.0%,,5.3%,5.3%,12.3%,1.8%,3.5%,5.3%,,,,,,,,,,,,,,,,1.8%,,,,
,,43640,Lean Six Sigma,202210,Fall 2021,004,10885,"Laux, Chad M.",25.0%,,,,36.5%,,,26.9%,,,9.6%,,,,1.9%,,,,,,,,,,,,,,,
,,44275,Global Trans & Logistics Mgmt,202210,Fall 2021,001,13125,"Tanoos, James J.",40.0%,22.5%,,,10.0%,2.5%,7.5%,7.5%,,5.0%,,,5.0%,,,,,,,,,,,,,,,,,
ILS,ILS-Information & Library Sci,10300,Intro Data Lifecycle Mgmt,202210,Fall 2021,002,20392,"Huber, Sarah E.",6.3%,,87.5%,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LC1,20215,"Witt, Michael C.",73.8%,15.5%,,,3.6%,1.2%,2.4%,,,1.2%,,,,,2.4%,,,,,,,,,,,,,,,
IPPH,IPPH-Industrial & Phys Pharm,56200,Pharmaceutical Process,202210,Fall 2021,001,61641,"Li, Tonglei",78.6%,,,,7.1%,,,14.3%,,,,,,,,,,,,,,,,,,,,,,
,,58000,Physical Chem Prin,202210,Fall 2021,001,22192,"Taylor, Lynne S.",82.4%,,,,17.6%,,,,,,,,,,,,,,,,,,,,,,,,,
,,69000,Intro To Pharm Sci Research,202210,Fall 2021,001,22130,"Yang, Danzhou",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,69600,Sem Indus & Phys Phar,202210,Fall 2021,002,42161,"Matosevic, Sandro",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
ITAL,ITAL-Italian,10100,Italian Level I,202210,Fall 2021,001,17024,"Grande, Giuseppina",23.5%,11.8%,17.6%,,11.8%,11.8%,,5.9%,,5.9%,5.9%,,,,,,,,,,,,,,,5.9%,,,,
,,,,,,002,17028,"Mosca, Annalisa",17.6%,11.8%,,,11.8%,,,17.6%,17.6%,,,,,,5.9%,,,,,,,,,,,11.8%,5.9%,,,
,,,,,,003,17034,"Bogart, Brett T.",43.5%,4.3%,4.3%,,13.0%,8.7%,4.3%,4.3%,8.7%,,,,,,8.7%,,,,,,,,,,,,,,,
,,,,,,004,19673,"Grande, Giuseppina",14.3%,33.3%,4.8%,,4.8%,4.8%,4.8%,,4.8%,,9.5%,,,,,,,,,,,,,,,14.3%,4.8%,,,
,,10200,Italian Level II,202210,Fall 2021,001,17055,"Bogart, Brett T.",28.6%,4.8%,14.3%,,14.3%,4.8%,,4.8%,9.5%,4.8%,9.5%,,,,4.8%,,,,,,,,,,,,,,,
,,,,,,002,17057,"Grande, Giuseppina",18.2%,22.7%,9.1%,,13.6%,4.5%,4.5%,4.5%,4.5%,4.5%,,,,,13.6%,,,,,,,,,,,,,,,
,,10500,Accel Basic Italian,202210,Fall 2021,001,22305,"Babic Williams, Tatjana",50.0%,,16.7%,8.3%,8.3%,,,,,,,,,,,,,,,,8.3%,,,,,8.3%,,,,
,,11200,Elem Italian Conversation,202210,Fall 2021,001,16634,"Babic Williams, Tatjana",25.0%,8.3%,41.7%,,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,
,,20100,Italian Level III,202210,Fall 2021,002,22309,"Mosca, Annalisa",8.7%,26.1%,,,13.0%,4.3%,13.0%,4.3%,4.3%,4.3%,,8.7%,,,8.7%,,,,,,,,,,,,4.3%,,,
,,20200,Italian Level IV,202210,Fall 2021,001,22310,"Mosca, Annalisa",17.6%,5.9%,,,23.5%,,11.8%,5.9%,11.8%,5.9%,,,,,,,,,5.9%,,,,,,,11.8%,,,,
,,28100,Italian Renaissance Impact,202210,Fall 2021,001,14493,"Coda, Elena",21.1%,15.8%,5.3%,,15.8%,,15.8%,,5.3%,5.3%,,,,,5.3%,,,,,,,,,,,10.5%,,,,
JPNS,JPNS-Japanese,10100,Japanese Level I,202210,Fall 2021,050,17081,"Ogiuchi, Sayuri",30.8%,23.1%,30.8%,,,,,,,,,,,,7.7%,,,,,,7.7%,,,,,,,,,
,,,,,,051,17082,"Ogiuchi, Sayuri",18.8%,18.8%,50.0%,,,,6.3%,,,,,6.3%,,,,,,,,,,,,,,,,,,
,,,,,,052,17091,"Ogiuchi, Sayuri",31.3%,,56.3%,,,,12.5%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,053,17095,"Matsuo, Ayaka",35.3%,11.8%,35.3%,,,5.9%,,,5.9%,,,,5.9%,,,,,,,,,,,,,,,,,
,,,,,,054,17097,"Brennan, Akiko O.",27.8%,16.7%,27.8%,,5.6%,5.6%,,,,,,,,,16.7%,,,,,,,,,,,,,,,
,,,,,,055,17105,"Brennan, Akiko O.",18.8%,,56.3%,,6.3%,,,,6.3%,,6.3%,,,,,,,,,,,,,,,6.3%,,,,
,,,,,,056,17107,"Brennan, Akiko O.",6.7%,20.0%,40.0%,,,6.7%,6.7%,,6.7%,,6.7%,,,,,,,,,,,,,,,6.7%,,,,
,,,,,,057,17114,"Brennan, Akiko O.",18.8%,6.3%,31.3%,,18.8%,,6.3%,,,,,,,,,,,,,,,,,,,18.8%,,,,
,,,,,,058,17115,"Minobe, Masaki",61.5%,15.4%,,,,,,,7.7%,,7.7%,,,,,,,,,,7.7%,,,,,,,,,
,,10200,Japanese Level II,202210,Fall 2021,001,23210,"Lutz, Asami",33.3%,25.0%,,,16.7%,8.3%,,,,,,,,,,,,,,,,,,,,16.7%,,,,
,,,,,,002,26513,"Warren, Naoko T.",42.9%,14.3%,28.6%,,,,7.1%,7.1%,,,,,,,,,,,,,,,,,,,,,,
,,20100,Japanese Level III,202210,Fall 2021,025,17385,"Ishii, Marina",33.3%,16.7%,5.6%,,,16.7%,11.1%,5.6%,,5.6%,,,,,,,,,,,,,,,,5.6%,,,,
,,,,,,026,17396,"Sakaue, Kaho",21.1%,26.3%,,,10.5%,10.5%,5.3%,,5.3%,5.3%,,,,,5.3%,,,,,,,,,,,10.5%,,,,
,,,,,,027,17397,"Ishii, Marina",42.1%,10.5%,5.3%,,15.8%,,5.3%,15.8%,,5.3%,,,,,,,,,,,,,,,,,,,,
,,,,,,028,17398,"Miura, Yukie",22.2%,22.2%,11.1%,,27.8%,,5.6%,,,,,,,,5.6%,,,,,,,,,,,5.6%,,,,
,,20200,Japanese Level IV,202210,Fall 2021,001,23211,"Pankratova, Snezhanna V.",23.1%,7.7%,15.4%,,7.7%,,30.8%,,,,,,,,,,15.4%,,,,,,,,,,,,,
,,28000,Intro Mod Japanese Civ,202210,Fall 2021,001,26042,"Matsuo, Ayaka",22.2%,5.6%,33.3%,,11.1%,,22.2%,,,,,,,,5.6%,,,,,,,,,,,,,,,
,,30100,Japanese Level V,202210,Fall 2021,002,22368,"Sakaue, Kaho",40.0%,13.3%,20.0%,,,6.7%,13.3%,,,,,,,,,,,,,,,,,,,6.7%,,,,
,,,,,,003,22369,"Minobe, Masaki",21.1%,36.8%,15.8%,,5.3%,,,5.3%,,,,,5.3%,,5.3%,,,,,,5.3%,,,,,,,,,
,,33000,Japanese Cinema,202210,Fall 2021,002,16362,"Bassoe, Pedro T.",17.6%,17.6%,26.5%,,,11.8%,,,5.9%,2.9%,2.9%,5.9%,,,2.9%,,2.9%,,,,2.9%,,,,,,,,,
,,34100,Japanese Literature I,202210,Fall 2021,001,20286,"Bassoe, Pedro T.",18.8%,12.5%,12.5%,,,12.5%,31.3%,6.3%,,,,,,,6.3%,,,,,,,,,,,,,,,
,,36100,Elem Survey Japan Ling,202210,Fall 2021,001,22374,"Hatasa, Kazumi",38.5%,7.7%,7.7%,,,,30.8%,,,7.7%,,,,,,,,,,7.7%,,,,,,,,,,
,,40100,Japanese Level VII,202210,Fall 2021,001,50662,"Wei, Mariko M.",55.6%,16.7%,27.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,KOR-Korean,10100,Korean Level I,202210,Fall 2021,001,20339,"Kim, Huai-Rhin",55.6%,16.7%,,,11.1%,,5.6%,,,5.6%,,,,,,,,,,,,,,,,5.6%,,,,
,,,,,,002,15973,"Lee, Sol",35.3%,41.2%,,,5.9%,5.9%,11.8%,,,,,,,,,,,,,,,,,,,,,,,
,,,Korean Level I-Honors,202210,Fall 2021,002,15973,"Lee, Sol",,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20100,Korean Level III,202210,Fall 2021,001,20358,"Kim, Huai-Rhin",58.8%,29.4%,,,,5.9%,5.9%,,,,,,,,,,,,,,,,,,,,,,,
,,30100,Korean Level V,202210,Fall 2021,001,24773,"Kim, Huai-Rhin",61.5%,15.4%,,,7.7%,7.7%,,,,,,,,,,,,,,,,,,,,7.7%,,,,
,,,Korean Level V-Honors,202210,Fall 2021,001,24773,"Kim, Huai-Rhin",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,LA-Landscape Architecture,10110,Survey Of Landscape Arch,202210,Fall 2021,001,11825,"Palacios, Leslie J.",12.5%,10.0%,27.5%,,22.5%,5.0%,7.5%,,,,5.0%,,,,10.0%,,,,,,,,,,,,,,,
,,11600,Graphic Com In Design I,202210,Fall 2021,001,22388,"Huang, Yiwei",23.3%,16.7%,16.7%,,6.7%,6.7%,16.7%,,3.3%,6.7%,,,,,3.3%,,,,,,,,,,,,,,,
,,11700,Graphic Com In Design II,202210,Fall 2021,003,56768,"Barbarash, David M.",21.4%,21.4%,7.1%,,28.6%,14.3%,7.1%,,,,,,,,,,,,,,,,,,,,,,,
,,16100,Land And Society,202210,Fall 2021,001,11683,"Rotar, Sean M.",12.7%,15.9%,25.4%,,9.5%,7.9%,9.5%,1.6%,,4.8%,,1.6%,1.6%,,4.8%,,,,,,,,,,,4.8%,,,,
,,24600,Site Systems I,202210,Fall 2021,003,12121,"Palacios, Leslie J.",26.7%,,46.7%,,20.0%,,6.7%,,,,,,,,,,,,,,,,,,,,,,,
,,30900,Co-Op Preparation,202210,Fall 2021,001,13839,"Barbarash, David M.",55.6%,22.2%,,,5.6%,,5.6%,,,,,,,,11.1%,,,,,,,,,,,,,,,
,,31600,Land Arch Design III,202210,Fall 2021,003,12044,"Thompson, Aaron W.",52.6%,21.1%,,,5.3%,10.5%,,,,,,,,,10.5%,,,,,,,,,,,,,,,
,,32500,Planting Design II,202210,Fall 2021,003,12038,"Huang, Yiwei",23.8%,14.3%,9.5%,,28.6%,,4.8%,,,9.5%,,,,,4.8%,,,,,,,,,,,,,,,4.8%
,,39000,Prof Coop Prog In L A,202210,Fall 2021,001,22408,"Barbarash, David M.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,41600,Land Arch Design V,202210,Fall 2021,003,12033,"Barbarash, David M.",33.3%,19.0%,,,4.8%,9.5%,14.3%,,,14.3%,,,,,4.8%,,,,,,,,,,,,,,,
,,47600,Prof Pract Landsc Arch,202210,Fall 2021,002,49390,"Thompson, Aaron W.",85.7%,4.8%,,,,,4.8%,,,,,,4.8%,,,,,,,,,,,,,,,,,
,,50100,Research Mthds For Design Appl,202210,Fall 2021,001,24186,"Thompson, Aaron W.",42.9%,4.8%,42.9%,,,,4.8%,,,,,,,,4.8%,,,,,,,,,,,,,,,
LATN,LATN-Latin,10100,Latin Level I,202210,Fall 2021,007,51232,"Campbell, Charles S.",7.1%,14.3%,7.1%,,14.3%,14.3%,,,,7.1%,,,,,,,,,7.1%,,,,,,,28.6%,,,,
,,,,,,008,68072,"Mercier, Elizabeth E.",25.0%,12.5%,6.3%,,12.5%,12.5%,,12.5%,,,,,,,6.3%,,,,,,,,,,,12.5%,,,,
,,,Latin Level I-Honors,202210,Fall 2021,007,51232,"Campbell, Charles S.",,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,008,68072,"Mercier, Elizabeth E.",,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20100,Latin Level III,202210,Fall 2021,003,53692,"Moodie, Erin K.",28.6%,14.3%,,,14.3%,,,14.3%,,,,,14.3%,,,,,,,,,,,,,14.3%,,,,
,,,,,,004,11190,"Conner, Daniel A.",50.0%,16.7%,,,16.7%,,16.7%,,,,,,,,,,,,,,,,,,,,,,,
,,,Latin Level III-Honors,202210,Fall 2021,003,53692,"Moodie, Erin K.",75.0%,,,,,25.0%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,11190,"Conner, Daniel A.",16.7%,,50.0%,,16.7%,,16.7%,,,,,,,,,,,,,,,,,,,,,,,
LING,LING-Linguistics,20100,Intro To Linguistics,202210,Fall 2021,027,17044,"Nodar, Leah M.",31.6%,10.5%,21.1%,,10.5%,5.3%,10.5%,5.3%,,,,,,,,,,,,,,,,,,5.3%,,,,
,,,,,,030,17053,"Jung, Ye-Jee",18.2%,27.3%,18.2%,,27.3%,9.1%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,031,17058,"Zhou, Alexis N.",25.0%,18.8%,31.3%,,,,18.8%,6.3%,,,,,,,,,,,,,,,,,,,,,,
,,31500,Elements Of Phonetics,202210,Fall 2021,004,15128,"Francis, Alexander L.",15.4%,7.7%,30.8%,,15.4%,,,,,,,7.7%,,,7.7%,,,,,,,,,,,15.4%,,,,
MA,MA-Mathematics,10800,Math Professn & Discpl,202210,Fall 2021,001,64932,"Carignan, Alex M.",8.7%,6.9%,67.1%,,2.3%,1.2%,1.2%,1.2%,2.3%,,1.2%,,1.7%,,3.5%,,,,,,,,,,,2.9%,,,,
,,13700,Math For Elm Tchrs I,202210,Fall 2021,830,22924,"Egbert, Nicholas R.",22.7%,,,,18.2%,,,18.2%,4.5%,4.5%,9.1%,,,,9.1%,,,,,,,,,,,13.6%,,,,
,,,,,,930,62961,"Egbert, Nicholas R.",12.0%,8.0%,,,16.0%,8.0%,,16.0%,,,8.0%,,4.0%,,28.0%,,,,,,,,,,,,,,,
,,,,,,931,27340,"Buck, Leah E.",12.5%,,4.2%,,25.0%,4.2%,,20.8%,,,16.7%,,,,16.7%,,,,,,,,,,,,,,,
,,,,,,932,27341,"Buck, Leah E.",8.3%,,,,29.2%,4.2%,,37.5%,,,8.3%,,,,8.3%,,,,,,,,,,,4.2%,,,,
,,13800,Math For Elm Tchrs II,202210,Fall 2021,130,22824,"Max, Brooke M.",40.0%,5.0%,,,15.0%,,,25.0%,5.0%,5.0%,5.0%,,,,,,,,,,,,,,,,,,,
,,13900,Math For Elm Tchrs III,202210,Fall 2021,230,22933,"Max, Brooke M.",18.2%,4.5%,,,31.8%,13.6%,4.5%,18.2%,,9.1%,,,,,,,,,,,,,,,,,,,,
,,,,,,330,12519,"Max, Brooke M.",22.2%,,5.6%,,50.0%,,,11.1%,,,5.6%,,,,5.6%,,,,,,,,,,,,,,,
,,15300,College Algebra,202210,Fall 2021,110,14957,"Douglass, Sydney N.",20.0%,,8.0%,,16.0%,8.0%,4.0%,4.0%,,8.0%,4.0%,,4.0%,,8.0%,,,,,,,,,,,16.0%,,,,
,,,,,,124,18812,"Oliva, Brandon E.",11.1%,3.7%,,,14.8%,7.4%,3.7%,14.8%,7.4%,14.8%,3.7%,,,,11.1%,,,,,,,,,,,7.4%,,,,
,,,,,,138,14955,"Drayer, James J.",3.7%,3.7%,,,18.5%,3.7%,,11.1%,14.8%,14.8%,3.7%,,7.4%,,11.1%,,,,,,,,,,,7.4%,,,,
,,,,,,152,18813,"Sammons, Kaitlyn B.",18.5%,7.4%,11.1%,,11.1%,7.4%,,11.1%,7.4%,3.7%,,,,,11.1%,,,,,,,,,,,11.1%,,,,
,,,,,,159,14954,"Johnson, Tamara R.",15.4%,3.8%,3.8%,,11.5%,3.8%,,11.5%,19.2%,7.7%,3.8%,,7.7%,,3.8%,,,,,,,,,,,7.7%,,,,
,,,,,,166,20779,"Torem, Gavin T.",7.4%,3.7%,3.7%,,,7.4%,,11.1%,18.5%,14.8%,3.7%,,3.7%,,11.1%,,,,,,,,,,,14.8%,,,,
,,,,,,173,20787,"Haro Gonzalez, Luis H.",18.5%,3.7%,,,7.4%,11.1%,,,3.7%,7.4%,3.7%,,3.7%,,29.6%,,,,,,,,,,,11.1%,,,,
,,,,,,180,15809,"Truong, Han T.",15.4%,,,,19.2%,,7.7%,3.8%,3.8%,7.7%,,,,,26.9%,,,,,,,,,,,15.4%,,,,
,,,,,,187,16087,"Amundson, Austin P.",11.5%,3.8%,,,7.7%,7.7%,7.7%,7.7%,7.7%,19.2%,,,,,11.5%,,,,,,,,,,,15.4%,,,,
,,,,,,194,16089,"Hess, Joshua A.",14.8%,,,,14.8%,11.1%,3.7%,14.8%,11.1%,,,,3.7%,,3.7%,,,,,,,,,,,22.2%,,,,
,,,,,,200,11361,"Devlin, Patrick M.",11.5%,2.9%,11.5%,,19.2%,4.8%,2.9%,6.7%,1.0%,13.5%,1.0%,,3.8%,,10.6%,,,,,,,,,,,10.6%,,,,
,,,,,,405,13496,"Pelascini, Tyler A.",28.0%,4.0%,,,28.0%,,4.0%,,,12.0%,,,4.0%,,8.0%,,,,,,,,,,,12.0%,,,,
,,,,,,406,13497,"Savage, Brianna M.",3.7%,,11.1%,,18.5%,3.7%,,7.4%,7.4%,11.1%,3.7%,,3.7%,,18.5%,,,,,,,,,,,11.1%,,,,
,,,,,,407,26828,"Collins, Tiffany N.",,,4.2%,,20.8%,12.5%,,8.3%,12.5%,,8.3%,,,,12.5%,,,,,,,,,,,20.8%,,,,
,,,,,,408,26829,"Werner, Hosley K.",25.9%,7.4%,3.7%,,11.1%,11.1%,,7.4%,3.7%,7.4%,3.7%,,,,11.1%,,,,,,,,,,,7.4%,,,,
,,,,,,Y01,57086,"Devlin, Patrick M.",17.5%,1.8%,8.8%,,15.8%,1.8%,1.8%,5.3%,,3.5%,1.8%,,3.5%,,15.8%,,,,1.8%,,,,,,,21.1%,,,,
,,,,,,Y02,11335,"Devlin, Patrick M.",12.5%,4.2%,10.4%,,10.4%,2.1%,6.3%,4.2%,2.1%,4.2%,4.2%,,2.1%,,22.9%,,,,,,,,,,,14.6%,,,,
,,15555,Quantitative Reasoning,202210,Fall 2021,100,11437,"Henry, Carolyn G.",20.0%,20.0%,23.3%,,6.7%,6.7%,13.3%,3.3%,3.3%,,,,,,3.3%,,,,,,,,,,,,,,,
,,,,,,113,11431,"Woodrow, Daniel J.",20.0%,6.7%,26.7%,,10.0%,13.3%,13.3%,,,,3.3%,,3.3%,,3.3%,,,,,,,,,,,,,,,
,,,,,,126,11432,"Woodrow, Daniel J.",6.9%,24.1%,27.6%,,3.4%,6.9%,17.2%,,3.4%,,,,3.4%,,6.9%,,,,,,,,,,,,,,,
,,,,,,139,12617,"Henry, Carolyn G.",10.0%,16.7%,40.0%,,6.7%,10.0%,6.7%,,,,,,,,3.3%,,,,,,,,,,,6.7%,,,,
,,,,,,152,11433,"Henry, Carolyn G.",24.1%,10.3%,24.1%,,6.9%,6.9%,3.4%,3.4%,3.4%,,,,,,10.3%,,,,,,,,,,,6.9%,,,,
,,,,,,165,12608,"Woodrow, Daniel J.",32.1%,21.4%,21.4%,,,3.6%,7.1%,3.6%,3.6%,,,,3.6%,,3.6%,,,,,,,,,,,,,,,
,,,,,,178,11430,"Woodrow, Daniel J.",32.1%,17.9%,25.0%,,3.6%,10.7%,3.6%,3.6%,,,3.6%,,,,,,,,,,,,,,,,,,,
,,,,,,191,11428,"Henry, Carolyn G.",31.0%,6.9%,37.9%,,3.4%,3.4%,3.4%,3.4%,,6.9%,,,,,3.4%,,,,,,,,,,,,,,,
,,15800,Precalculus- Functions & Trig,202210,Fall 2021,002,59661,"Hosseinijafari, Farid",2.5%,2.5%,,,27.5%,7.5%,7.5%,15.0%,10.0%,7.5%,2.5%,,5.0%,,2.5%,,,,,,2.5%,,,,,7.5%,,,,
,,,,,,007,68066,"Eldaghar, Omar S.",2.5%,,,,25.0%,10.0%,2.5%,7.5%,15.0%,15.0%,,,2.5%,,7.5%,,,,,,,,,,,12.5%,,,,
,,,,,,019,11787,"King, Kindyl L.",17.5%,10.0%,,,7.5%,10.0%,2.5%,7.5%,2.5%,15.0%,7.5%,,7.5%,,5.0%,,,,,,,,,,,7.5%,,,,
,,,,,,021,15142,"King, Kindyl L.",7.5%,5.0%,2.5%,,20.0%,10.0%,10.0%,12.5%,,2.5%,7.5%,,,,10.0%,,,,,,,,,,,12.5%,,,,
,,,,,,025,17309,"Hosseinijafari, Farid",5.0%,2.5%,,,20.0%,10.0%,2.5%,10.0%,7.5%,12.5%,7.5%,,7.5%,,10.0%,,,,,,,,,,,5.0%,,,,
,,,,,,026,17326,"Chase, Rebekah C.",12.5%,5.0%,2.5%,,27.5%,7.5%,,2.5%,5.0%,5.0%,7.5%,,5.0%,,12.5%,,,,,,,,,,,7.5%,,,,
,,,,,,029,19493,"Eldaghar, Omar S.",10.0%,2.5%,,,27.5%,10.0%,2.5%,12.5%,,10.0%,7.5%,,,,12.5%,,,,,,,,,,,5.0%,,,,
,,,,,,800,12831,"Norris, David M.",12.0%,5.1%,,,22.3%,10.3%,5.7%,11.4%,2.9%,8.0%,1.7%,,3.4%,,12.0%,,,,0.6%,,,,,,,4.6%,,,,
,,,,,,811,27209,"Shalabi, Jill D.",11.6%,,0.8%,,24.8%,6.6%,0.8%,11.6%,4.1%,9.9%,6.6%,,1.7%,,14.0%,,,,,,,,,,,7.4%,,,,
,,,,,,812,27210,"Shalabi, Jill D.",6.3%,5.6%,0.8%,,18.3%,9.5%,4.8%,15.1%,7.1%,14.3%,4.0%,,3.2%,,7.9%,,,,,,,,,,,3.2%,,,,
,,,,,,813,27211,"Shalabi, Jill D.",12.8%,2.4%,,,27.2%,7.2%,4.0%,4.8%,7.2%,8.0%,4.8%,,4.8%,,10.4%,,,,,,,,,,,6.4%,,,,
,,,,,,814,27214,"Chase, Rebekah C.",15.4%,5.1%,,,28.2%,7.7%,2.6%,7.7%,2.6%,5.1%,5.1%,,2.6%,,15.4%,,,,,,,,,,,2.6%,,,,
,,,,,,815,27782,"Glenn, Gavin A.",17.5%,,,,25.0%,12.5%,2.5%,2.5%,2.5%,15.0%,10.0%,,2.5%,,5.0%,,,,,,2.5%,,,,,2.5%,,,,
,,,,,,816,27783,"Glenn, Gavin A.",7.5%,2.5%,,,25.0%,22.5%,2.5%,10.0%,2.5%,10.0%,5.0%,,,,7.5%,,,,,,,,,,,5.0%,,,,
,,,,,,817,27796,"Debonis, Patrick H.",2.7%,2.7%,,,16.2%,8.1%,5.4%,21.6%,13.5%,10.8%,2.7%,,,,5.4%,,,,,,,,,,,10.8%,,,,
,,,,,,818,27798,"Debonis, Patrick H.",7.5%,5.0%,,,27.5%,12.5%,5.0%,12.5%,2.5%,5.0%,7.5%,,5.0%,,2.5%,,,,,,,,,,,7.5%,,,,
,,,,,,Y01,15135,"Norris, David M.",11.6%,1.4%,,,5.8%,8.7%,4.3%,7.2%,4.3%,14.5%,5.8%,,2.9%,,20.3%,,,,1.4%,,,,,,,11.6%,,,,
,,16010,Applied Calculus I,202210,Fall 2021,019,18133,"Mercier, William C.",15.4%,,7.7%,,10.3%,12.8%,5.1%,15.4%,2.6%,2.6%,5.1%,,,,7.7%,,,,,,,,,,,15.4%,,,,
,,,,,,038,18135,"Mercier, William C.",12.1%,3.0%,6.1%,,12.1%,9.1%,6.1%,15.2%,3.0%,9.1%,9.1%,,,,6.1%,,,,,,,,,,,9.1%,,,,
,,,,,,057,18136,"Berardi, Maria",17.9%,,5.1%,,7.7%,,12.8%,12.8%,,2.6%,5.1%,2.6%,,,20.5%,,,,,,,,,,,12.8%,,,,
,,,,,,076,18140,"Berardi, Maria",17.5%,7.5%,10.0%,,7.5%,10.0%,7.5%,7.5%,,5.0%,7.5%,,7.5%,,5.0%,,,,,,,,,,,7.5%,,,,
,,,,,,095,18141,"Schwingendorf, Keith E.",8.1%,13.5%,,,13.5%,5.4%,5.4%,8.1%,,13.5%,2.7%,2.7%,5.4%,,5.4%,,,,,,,,,,,16.2%,,,,
,,,,,,114,18142,"Schwingendorf, Keith E.",13.5%,2.7%,,,10.8%,10.8%,2.7%,8.1%,2.7%,13.5%,2.7%,8.1%,8.1%,,10.8%,,,,,,,,,,,5.4%,,,,
,,,,,,171,18150,"Buchanan, Weston P.",21.1%,5.3%,2.6%,,5.3%,2.6%,2.6%,15.8%,7.9%,5.3%,10.5%,,2.6%,,5.3%,,,,,,,,,,,13.2%,,,,
,,,,,,190,18151,"Buchanan, Weston P.",18.2%,6.1%,3.0%,,12.1%,3.0%,,3.0%,6.1%,6.1%,6.1%,3.0%,6.1%,,12.1%,,,,,,,,,,,15.2%,,,,
,,,,,,209,18152,"Cuadra, Alexandra",20.5%,5.1%,2.6%,,15.4%,2.6%,5.1%,15.4%,5.1%,2.6%,7.7%,,5.1%,,5.1%,,,,,,,,,,,7.7%,,,,
,,,,,,228,18153,"Cuadra, Alexandra",23.1%,2.6%,5.1%,,12.8%,,10.3%,10.3%,2.6%,5.1%,5.1%,,10.3%,,10.3%,,,,,,,,,,,2.6%,,,,
,,,,,,361,18162,"Lancette, Steven R.",20.0%,7.5%,5.0%,,12.5%,7.5%,2.5%,15.0%,2.5%,7.5%,5.0%,2.5%,2.5%,,5.0%,,,,,,,,,,,5.0%,,,,
,,,,,,380,18224,"Lancette, Steven R.",22.5%,5.0%,2.5%,,10.0%,,5.0%,7.5%,5.0%,10.0%,17.5%,2.5%,5.0%,,5.0%,,,,,,,,,,,2.5%,,,,
,,,,,,399,18232,"Coupek, Pavel",25.6%,2.6%,7.7%,,15.4%,7.7%,15.4%,2.6%,5.1%,2.6%,,2.6%,2.6%,,5.1%,,,,,,,,,,,5.1%,,,,
,,,,,,418,18252,"Coupek, Pavel",15.0%,10.0%,7.5%,,17.5%,2.5%,2.5%,7.5%,7.5%,7.5%,10.0%,,2.5%,,7.5%,,,,,,,,,,,2.5%,,,,
,,,,,,437,18254,"Tolosa, Daniel C.",20.0%,5.0%,7.5%,,15.0%,7.5%,7.5%,7.5%,2.5%,7.5%,5.0%,2.5%,2.5%,,5.0%,,,,,,,,,,,5.0%,,,,
